00:00,Frei,Anfahrt,Anfahrt,Anfahrt,Anfahrt,Anfahrt,Frei
08:15,Frei,Mathematik,BET,Recht,Physik,Deutsch,Frei
09:05,Frei,Religion,BET,Recht,Mathematik,Deutsch,Frei
09:55,Frei,5 min Pause,5 min Pause,5 min Pause,5 min Pause,5 min Pause,Frei
10:10,Frei,Religion,Geschichte,AMEC,Turnen,Englisch,Frei
11:00,Frei,Mittagspause,KORE,Mittagspause,Turnen,Englisch,Frei
11:50,Frei,5 min Pause,5 min Pause,5 min Pause,5 min Pause,5 min Pause,Frei
11:55,Frei,SWP,KORE,Geografie,KÜ,Mittagspause,Frei
12:45,Frei,SWP,Spanisch,Informatik,KÜ,Werkstatt,Frei
13:35,Frei,5 min Pause,5 min Pause,5 min Pause,5 min Pause,5 min Pause,Frei
13:40,Frei,AMES,Mittagspause,Informatik,Mittagspause,Werkstatt,Frei
14:30,Frei,5 min Pause,5 min Pause,5 min Pause,5 min Pause,5 min Pause,Frei
14:35,Frei,NWES,Spanisch,Mathematik,SWP,Werkstatt,Frei
15:25,Frei,5 min Pause,5 min Pause,5 min Pause,5 min Pause,5 min Pause,Frei
15:30,Frei,NWES,Spanisch,Chemie,SWP,Werkstatt,Frei
16:20,Frei,Abfahrt,Abfahrt,Abfahrt,Abfahrt,Abfahrt,Frei
